,id,description,latitude,longitude,stationDataOriginList
0,1,INTA - La Viña,-25.4723965124,-65.567772429,[]
1,2,UCASAL - El Tipal,-24.7657954885,-65.4755009893,[]
2,3,UCASAL - Fac. Ingeniería,-24.7404422829,-65.3917714195,"[{'id': 26, 'externalStationId': 'ISALTA11', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
3,4,UCASAL - Colegio Belgrano,-24.7810795278,-65.409907539,"[{'id': 24, 'externalStationId': 'ISALTA7', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
4,5,UCASAL - La Caldera,-24.61,-65.39,"[{'id': 25, 'externalStationId': 'ILACAL8', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 2, 'description': 'WeatherUnderground'}, 'defaultUnit': {'id': 4, 'alias': 'in', 'description': 'pulgada'}}]"
5,6,AES - Cabra Corral,-25.2700277778,-65.3339166667,"[{'id': 67, 'externalStationId': 'CabraCorral', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
6,7,AES - La Viña,-25.4646389836,-65.5641075318,[]
7,8,AES - El Carril,-25.0730600581,-65.5004368533,"[{'id': 104, 'externalStationId': 'Carril', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
8,9,AES - Cnel Moldes,-25.2811344002,-65.4789176706,[]
9,10,AES - Metán,-25.5084829401,-64.9807806494,"[{'id': 105, 'externalStationId': 'Metan', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
10,11,AES - Termoandes,-24.7432383402,-65.0521912365,"[{'id': 28, 'externalStationId': 'Termoandes', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}]"
11,12,AES - La Punilla,-26.012,-65.8229722222,"[{'id': 9, 'externalStationId': 'Punilla', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
12,13,AES - Campo Quijano,-24.9006666667,-65.6621666667,"[{'id': 3, 'externalStationId': 'CampoQuijano', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
13,14,SMN-Aeropuerto Salta,-24.844154066,-65.4765851694,[]
14,15,AES - Miraflores,-25.3121666667,-64.8550277778,"[{'id': 5, 'externalStationId': 'Miraflores', 'dimension': {'id': 3, 'description': 'lluvia', 'preferredUnit': {'id': 3, 'alias': 'mm', 'description': 'milimetro'}}, 'dataOrigin': {'id': 1, 'description': 'AES'}, 'defaultUnit': None}]"
